Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,85.330002,85.480003,82.699997,82.910004,81.611534,250600
2020-01-09,82.809998,83.620003,81.410004,82.370003,81.079994,228000
2020-01-10,82.570000,83.169998,81.779999,82.839996,81.542625,118600
2020-01-13,82.790001,83.440002,80.660004,81.019997,79.751129,141300
2020-01-14,81.250000,81.269997,78.949997,79.690002,78.441963,406900
2020-01-15,79.500000,80.070000,78.559998,80.059998,78.806160,156100
2020-01-16,80.180000,81.430000,80.180000,80.739998,79.475517,193400
2020-01-17,80.699997,81.639999,80.160004,80.730003,79.465675,133700
2020-01-21,80.540001,80.839996,79.599998,80.239998,78.983345,204900
2020-01-22,80.419998,81.089996,79.650002,80.489998,79.229431,170100
2020-01-23,80.239998,81.489998,79.760002,80.669998,79.406609,194000
2020-01-24,80.680000,81.220001,79.739998,80.820000,79.554260,124000
2020-01-27,80.040001,81.279999,79.919998,80.550003,79.288498,128100
2020-01-28,80.660004,81.440002,79.639999,80.000000,78.747108,128200
2020-01-29,80.150002,80.150002,76.360001,77.739998,76.522499,163200
2020-01-30,77.040001,79.459999,77.040001,78.910004,77.674179,200400
2020-01-31,78.709999,78.889999,75.180000,76.610001,75.410194,193900
2020-02-03,76.830002,77.820000,76.830002,77.610001,76.394539,176300
2020-02-04,78.089996,78.550003,75.879997,75.919998,74.731003,116500
2020-02-05,76.349998,77.470001,75.120003,75.820000,74.632568,234500
2020-02-06,76.160004,76.949997,75.500000,75.699997,74.514442,140000
2020-02-07,75.389999,76.349998,74.739998,75.080002,73.904160,128200
2020-02-10,74.900002,75.769997,74.500000,75.309998,74.130554,108600
2020-02-11,75.459999,75.849998,74.669998,74.730003,73.559647,102200
2020-02-12,74.970001,75.290001,74.120003,74.550003,73.382462,93100
2020-02-13,74.489998,74.910004,73.820000,74.769997,73.599007,117900
2020-02-14,74.730003,76.209999,74.610001,75.809998,74.622726,140100
2020-02-18,75.720001,76.309998,74.760002,76.029999,74.839279,216200
2020-02-19,76.320000,77.279999,75.660004,76.720001,75.518478,187900
2020-02-20,76.650002,78.019997,76.639999,77.260002,76.050018,179100
2020-02-21,77.559998,79.230003,77.300003,77.709999,76.492966,564500
2020-02-24,76.510002,76.660004,74.050003,76.000000,74.809753,231800
2020-02-25,76.190002,76.470001,75.000000,76.050003,74.858971,219300
2020-02-26,76.250000,76.889999,75.540001,76.150002,74.957405,170500
2020-02-27,75.320000,76.820000,74.690002,75.400002,74.219147,267200
2020-02-28,74.279999,74.769997,71.629997,72.449997,71.315346,264800
2020-03-02,65.930000,66.750000,54.849998,55.220001,54.355190,1614500
2020-03-03,58.630001,59.000000,54.330002,55.919998,55.044224,642900
2020-03-04,56.000000,60.450001,55.959999,59.980000,59.040642,483100
2020-03-05,59.700001,63.080002,59.299999,62.500000,61.521175,280900
2020-03-06,62.310001,62.669998,60.369999,61.130001,60.172634,241600
2020-03-09,60.009998,60.009998,55.270000,58.049999,57.140869,375700
2020-03-10,58.060001,58.990002,49.520000,52.639999,51.815594,861900
2020-03-11,50.790001,56.209999,50.169998,53.020000,52.189644,306100
2020-03-12,51.070000,53.200001,48.310001,53.099998,52.268391,466700
2020-03-13,53.299999,57.560001,51.630001,57.340000,56.441990,437400
2020-03-16,54.759998,55.139999,52.400002,52.549999,51.727005,412500
2020-03-17,53.060001,57.509998,52.430000,56.639999,55.752949,421900
2020-03-18,54.869999,58.959999,52.490002,55.660000,54.788300,333800
2020-03-19,55.070000,61.619999,54.320000,60.009998,59.070171,296500
2020-03-20,59.790001,61.299999,52.590000,53.169998,52.337292,563500
2020-03-23,53.380001,53.380001,50.000000,51.070000,50.270184,204200
2020-03-24,52.919998,54.750000,51.619999,53.509998,52.671970,225900
2020-03-25,52.709999,53.990002,50.009998,53.360001,52.524319,397200
2020-03-26,53.910000,56.270000,53.410000,54.230000,53.380695,291400
2020-03-27,53.849998,55.310001,51.220001,53.459999,52.622753,241800
2020-03-30,53.880001,56.820000,53.250000,55.500000,54.630806,217300
2020-03-31,54.950001,58.160000,53.860001,57.689999,56.786507,260300
2020-04-01,57.919998,57.980000,55.730000,56.560001,55.674206,213500
2020-04-02,56.650002,58.410000,56.340000,58.189999,57.278675,163100
2020-04-03,58.259998,59.580002,55.509998,57.500000,56.599483,285600
2020-04-06,58.580002,62.709999,58.299999,62.419998,61.442429,183400
2020-04-07,63.980000,64.720001,60.590000,60.950001,59.995453,153600
2020-04-08,61.400002,62.900002,60.509998,62.560001,61.580238,121500
2020-04-09,63.290001,64.459999,61.810001,63.860001,62.859879,117900
2020-04-13,63.419998,63.709999,61.970001,63.310001,62.318493,102000
2020-04-14,64.089996,65.360001,63.709999,64.519997,63.509537,129000
2020-04-15,63.169998,63.680000,61.970001,63.139999,62.151154,114600
2020-04-16,63.049999,65.160004,62.720001,65.160004,64.139519,161700
2020-04-17,66.150002,66.440002,64.309998,65.050003,64.031242,259300
2020-04-20,64.040001,65.849998,64.000000,65.220001,64.198578,183400
2020-04-21,63.810001,64.830002,60.759998,60.980000,60.024982,140100
2020-04-22,61.889999,62.110001,60.080002,61.090000,60.133259,157200
2020-04-23,60.970001,62.740002,60.509998,62.080002,61.107758,136700
2020-04-24,62.320000,62.430000,60.090000,60.279999,59.335941,115100
2020-04-27,60.740002,63.240002,60.000000,62.020000,61.048695,223400
2020-04-28,62.889999,63.400002,61.880001,62.240002,61.265251,181600
2020-04-29,63.459999,64.120003,61.320000,62.959999,61.973972,159000
2020-04-30,62.110001,62.110001,57.840000,58.000000,57.091652,210400
2020-05-01,57.639999,57.639999,55.439999,55.830002,54.955639,170600
2020-05-04,55.299999,55.430000,53.169998,53.790001,52.947586,226800
2020-05-05,55.009998,55.259998,53.150002,53.320000,52.484947,176900
2020-05-06,53.529999,53.619999,52.419998,52.939999,52.110897,187000
2020-05-07,53.529999,55.919998,53.500000,55.590000,54.719395,156600
2020-05-08,56.570000,58.090000,56.259998,57.939999,57.032589,122200
2020-05-11,57.419998,57.869999,54.549999,55.369999,54.502838,142500
2020-05-12,55.610001,57.009998,55.070000,56.139999,55.260780,144900
2020-05-13,55.900002,55.900002,53.459999,55.020000,54.158321,123400
2020-05-14,54.160000,54.950001,52.869999,54.919998,54.059887,138400
2020-05-15,54.790001,57.250000,54.720001,56.599998,55.713577,158300
2020-05-18,57.860001,60.169998,57.450001,59.880001,58.942211,214500
2020-05-19,59.990002,61.410000,58.470001,58.529999,57.613350,108700
2020-05-20,59.150002,59.419998,57.619999,58.660000,57.741314,137000
2020-05-21,58.730000,60.299999,58.119999,59.750000,58.814243,95200
2020-05-22,59.790001,60.320000,58.279999,58.650002,57.731472,62800
2020-05-26,60.220001,61.119999,59.529999,59.750000,58.814243,212100
2020-05-27,60.330002,61.959999,59.060001,61.810001,60.841984,242700
2020-05-28,62.430000,62.830002,61.189999,61.419998,60.458088,191700
2020-05-29,60.990002,61.119999,57.919998,58.509998,57.593662,134100
2020-06-01,58.509998,59.090000,57.450001,57.820000,56.914471,158000
2020-06-02,58.020000,59.110001,57.029999,58.910000,57.987400,99200
2020-06-03,59.500000,61.029999,59.500000,59.750000,58.814243,101900
2020-06-04,59.700001,63.810001,59.310001,62.980000,61.993660,175400
2020-06-05,64.360001,65.360001,63.650002,64.080002,63.076435,154600
2020-06-08,65.019997,66.900002,64.260002,64.699997,63.686718,224100
2020-06-09,62.330002,62.520000,58.349998,61.250000,60.290752,429200
2020-06-10,61.119999,61.849998,58.209999,58.599998,57.682255,151000
2020-06-11,57.750000,58.750000,57.119999,57.209999,56.314022,204600
2020-06-12,58.959999,58.959999,56.070000,57.570000,56.668385,112200
2020-06-15,56.590000,58.340000,56.060001,58.340000,57.426327,124500
2020-06-16,59.980000,61.509998,58.709999,60.759998,59.808426,212100
2020-06-17,60.680000,61.560001,59.750000,60.680000,59.729679,127500
2020-06-18,60.209999,61.410000,59.639999,61.270000,60.310440,91700
2020-06-19,61.910000,62.320000,60.320000,60.750000,59.798584,157000
2020-06-22,60.230000,60.950001,59.770000,60.889999,59.936390,97700
2020-06-23,61.580002,62.040001,60.029999,62.040001,61.068382,147300
2020-06-24,61.430000,63.130001,60.779999,62.700001,61.718044,102800
2020-06-25,62.560001,62.639999,60.189999,61.169998,60.212006,128200
2020-06-26,60.630001,61.349998,58.450001,58.810001,57.888966,287100
2020-06-29,58.959999,62.400002,58.959999,61.560001,60.595898,87900
2020-06-30,61.669998,63.200001,61.669998,62.910000,61.924755,110300
2020-07-01,62.650002,63.419998,61.580002,61.869999,60.901043,125100
2020-07-02,62.779999,63.540001,62.009998,62.180000,61.206188,66300
2020-07-06,63.009998,63.599998,61.410000,61.970001,60.999477,95700
2020-07-07,61.480000,61.740002,60.490002,60.619999,59.670620,97400
2020-07-08,60.759998,60.759998,58.680000,58.980000,58.056305,77500
2020-07-09,58.740002,58.900002,57.490002,57.610001,56.707760,104600
2020-07-10,57.660000,59.320000,57.500000,59.259998,58.331917,88800
2020-07-13,59.470001,59.830002,58.669998,58.669998,57.751156,148300
2020-07-14,58.740002,60.299999,58.419998,59.770000,58.833931,68900
2020-07-15,60.730000,62.009998,60.110001,60.380001,59.434380,91200
2020-07-16,60.380001,61.230000,59.490002,60.450001,59.503281,94100
2020-07-17,60.439999,62.110001,60.150002,61.009998,60.054508,81500
2020-07-20,60.709999,61.040001,59.650002,60.380001,59.434380,68100
2020-07-21,60.580002,62.130001,59.869999,61.790001,60.822296,144200
2020-07-22,61.470001,61.650002,60.290001,61.000000,60.044666,75200
2020-07-23,61.119999,62.750000,60.990002,61.619999,60.654957,107500
2020-07-24,61.860001,61.860001,60.410000,60.639999,59.690304,68800
2020-07-27,60.549999,60.849998,59.889999,60.340000,59.395004,64600
2020-07-28,60.500000,62.250000,60.369999,61.279999,60.320282,119500
2020-07-29,61.740002,61.910000,60.389999,60.799999,59.847801,100900
2020-07-30,60.299999,60.310001,58.720001,58.880001,57.957870,97100
2020-07-31,58.509998,58.770000,56.590000,57.770000,56.865253,177700
2020-08-03,57.900002,57.900002,56.160000,57.040001,56.146687,78700
2020-08-04,57.070000,59.000000,56.660000,58.919998,57.997242,103200
2020-08-05,59.279999,60.669998,58.790001,60.560001,59.611561,88000
2020-08-06,60.689999,61.820000,59.959999,60.459999,59.513123,78500
2020-08-07,60.310001,63.439999,59.889999,63.410000,62.416924,92300
2020-08-10,63.419998,65.889999,63.419998,65.669998,64.641525,115000
2020-08-11,66.489998,67.000000,63.299999,63.660000,62.663010,123300
